OTA,Iteration,Time,Result,Solver
TSM_v2,41,0.04275798797607422,unsafe,Theano_DC
TSM_v2,41,0.0420680046081543,unsafe,Theano_SC
TSM_v2,41,0.010731935501098633,unsafe,z3
TSM_v2,41,0.0050089359283447266,unsafe,cvc5
TSM_v2,42,0.04245591163635254,unsafe,Theano_DC
TSM_v2,42,0.04345202445983887,unsafe,Theano_SC
TSM_v2,42,0.011399030685424805,unsafe,z3
TSM_v2,42,0.005239009857177734,unsafe,cvc5
TSM_v2,43,0.07456207275390625,unsafe,Theano_DC
TSM_v2,43,0.04590106010437012,unsafe,Theano_SC
TSM_v2,43,0.011440038681030273,unsafe,z3
TSM_v2,43,0.005623817443847656,unsafe,cvc5
TSM_v2,44,0.04410719871520996,unsafe,Theano_DC
TSM_v2,44,0.04549813270568848,unsafe,Theano_SC
TSM_v2,44,0.012421846389770508,unsafe,z3
TSM_v2,44,0.00609588623046875,unsafe,cvc5
TSM_v2,45,0.053070068359375,unsafe,Theano_DC
TSM_v2,45,0.04235410690307617,unsafe,Theano_SC
TSM_v2,45,0.010979175567626953,unsafe,z3
TSM_v2,45,0.0053708553314208984,unsafe,cvc5
TSM_v2,46,0.042160987854003906,unsafe,Theano_DC
TSM_v2,46,0.04187607765197754,unsafe,Theano_SC
TSM_v2,46,0.012805938720703125,unsafe,z3
TSM_v2,46,0.0070569515228271484,unsafe,cvc5
TSM_v2,47,0.04370903968811035,unsafe,Theano_DC
TSM_v2,47,0.044979095458984375,unsafe,Theano_SC
TSM_v2,47,0.010977029800415039,unsafe,z3
TSM_v2,47,0.005508899688720703,unsafe,cvc5
TSM_v2,48,0.04331612586975098,unsafe,Theano_DC
TSM_v2,48,0.04871702194213867,unsafe,Theano_SC
TSM_v2,48,0.031889915466308594,unsafe,z3
TSM_v2,48,0.005454063415527344,unsafe,cvc5
TSM_v2,49,0.04199099540710449,unsafe,Theano_DC
TSM_v2,49,0.06363582611083984,unsafe,Theano_SC
TSM_v2,49,0.013400077819824219,unsafe,z3
TSM_v2,49,0.0073490142822265625,unsafe,cvc5
TSM_v2,50,0.0496368408203125,unsafe,Theano_DC
TSM_v2,50,0.048313140869140625,unsafe,Theano_SC
TSM_v2,50,0.015066862106323242,unsafe,z3
TSM_v2,50,0.006223917007446289,unsafe,cvc5
FSM_v2,1,0.0455930233001709,unsafe,Theano_DC
FSM_v2,1,0.07408618927001953,unsafe,Theano_SC
FSM_v2,1,0.030735015869140625,unsafe,z3
FSM_v2,1,0.0066339969635009766,unsafe,cvc5
FSM_v2,2,0.06162905693054199,unsafe,Theano_DC
FSM_v2,2,0.06147503852844238,unsafe,Theano_SC
FSM_v2,2,0.016271114349365234,unsafe,z3
