OTA,Iteration,Time,Result,Solver
FSM_v3,10,0.041990041732788086,safe,Theano_SC
FSM_v3,10,0.010804891586303711,safe,z3
FSM_v3,10,0.0045948028564453125,safe,cvc5
FSM_v3,11,0.04186201095581055,safe,Theano_DC
FSM_v3,11,0.04226112365722656,safe,Theano_SC
FSM_v3,11,0.010740995407104492,safe,z3
FSM_v3,11,0.004642009735107422,safe,cvc5
FSM_v3,12,0.04183316230773926,safe,Theano_DC
FSM_v3,12,0.041960954666137695,safe,Theano_SC
FSM_v3,12,0.010727882385253906,safe,z3
FSM_v3,12,0.004658937454223633,safe,cvc5
FSM_v3,13,0.0413970947265625,safe,Theano_DC
FSM_v3,13,0.04198908805847168,safe,Theano_SC
FSM_v3,13,0.010805130004882812,safe,z3
FSM_v3,13,0.0046880245208740234,safe,cvc5
FSM_v3,14,0.04139304161071777,safe,Theano_DC
FSM_v3,14,0.04138994216918945,safe,Theano_SC
FSM_v3,14,0.010835886001586914,safe,z3
FSM_v3,14,0.004697084426879883,safe,cvc5
FSM_v3,15,0.04145693778991699,safe,Theano_DC
FSM_v3,15,0.04207897186279297,safe,Theano_SC
FSM_v3,15,0.010582923889160156,safe,z3
FSM_v3,15,0.004830121994018555,safe,cvc5
FSM_v3,16,0.04135012626647949,safe,Theano_DC
FSM_v3,16,0.042059898376464844,safe,Theano_SC
FSM_v3,16,0.010770082473754883,safe,z3
FSM_v3,16,0.004542112350463867,safe,cvc5
FSM_v3,17,0.04129910469055176,safe,Theano_DC
FSM_v3,17,0.041845083236694336,safe,Theano_SC
FSM_v3,17,0.010989189147949219,safe,z3
FSM_v3,17,0.004748106002807617,safe,cvc5
FSM_v3,18,0.0411069393157959,safe,Theano_DC
FSM_v3,18,0.04226493835449219,safe,Theano_SC
FSM_v3,18,0.010828018188476562,safe,z3
FSM_v3,18,0.004921913146972656,safe,cvc5
FSM_v3,19,0.04158306121826172,safe,Theano_DC
FSM_v3,19,0.042198896408081055,safe,Theano_SC
FSM_v3,19,0.011021137237548828,safe,z3
FSM_v3,19,0.004678964614868164,safe,cvc5
FSM_v3,20,0.04136204719543457,safe,Theano_DC
FSM_v3,20,0.04183197021484375,safe,Theano_SC
FSM_v3,20,0.010998964309692383,safe,z3
FSM_v3,20,0.0046558380126953125,safe,cvc5
FSM_v3,21,0.041346073150634766,safe,Theano_DC
FSM_v3,21,0.041908979415893555,safe,Theano_SC
FSM_v3,21,0.010954856872558594,safe,z3
FSM_v3,21,0.004723072052001953,safe,cvc5
FSM_v3,22,0.04162192344665527,safe,Theano_DC
FSM_v3,22,0.04201984405517578,safe,Theano_SC
FSM_v3,22,0.010828018188476562,safe,z3
FSM_v3,22,0.0047228336334228516,safe,cvc5
FSM_v3,23,0.042012929916381836,safe,Theano_DC
FSM_v3,23,0.042040109634399414,safe,Theano_SC
FSM_v3,23,0.010795116424560547,safe,z3
FSM_v3,23,0.004678010940551758,safe,cvc5
FSM_v3,24,0.04168200492858887,safe,Theano_DC
FSM_v3,24,0.0418698787689209,safe,Theano_SC
FSM_v3,24,0.010838985443115234,safe,z3
FSM_v3,24,0.0047338008880615234,safe,cvc5
FSM_v3,25,0.041593074798583984,safe,Theano_DC
FSM_v3,25,0.0419619083404541,safe,Theano_SC
FSM_v3,25,0.010566949844360352,safe,z3
FSM_v3,25,0.00477910041809082,safe,cvc5
FSM_v3,26,0.041641950607299805,safe,Theano_DC
FSM_v3,26,0.04189705848693848,safe,Theano_SC
FSM_v3,26,0.01082301139831543,safe,z3
FSM_v3,26,0.0047070980072021484,safe,cvc5
